"","X","position","company","location","date","source","url","query","experience","computer.science","engineering","phd","bachelor","quantitative","physics","statistics","bioinformatics","master","software.engineering","econometrics","b2b","python","java","c","r","programming","matlab","sql","sas","unix","shell","ruby","perl","scala","javascript","tableau","spss","d3","machine.learning","visualization","algorithm","predictive.modelling","data.mining","optimization","database","classification","statistical","natural.language","project.management","hypotheses","web","distributed","communication","marketing","big.data","spark","hadoop","hive","nosql","mapreduce","zookeeper","pig","mahout","hbase","cloud","maths","degree","business","programming.1","stat","statlang","system","visualization.1","bigdataskills","database.1","ml","res"
"1",0,"Data Scientist (Healthcare)","Ayasdi","Menlo Park,CA","Thu, 23 Jun 2016 21:48:45 GMT","indeed","http://www.indeed.com/viewjob?jk=7dab40aaca898bd8&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYSqCDfam6NzMPqs3HKKHiCaqmgvuNm7n90aeZlj6I-OmptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1anf8icjebt57bk2","datascientist",NA,0,0,2.94859181071569,0,2.75321988790588,3.29782709369338,2.61345014246493,3.75646494271903,1.97903812032972,0,0,0,2.68735209133191,2.7404768373349,2.85609781406256,2.64756181505171,0,3.34568770934182,0,2.74893052482177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08901198982907,2.8400109941691,0,0,0,0,0,0,0,0,2.6245256475086,1.9754280040979,0,8.28392674272936,15.0454877142918,11.4295321405472,0,0,5.92902298399818,0,0,3
"2",1,"Data Scientist / Quantitative Analyst, YouTube","Google","Mountain View,CA","Tue, 05 Jul 2016 16:00:25 GMT","indeed","http://www.indeed.com/viewjob?jk=045ea3ec34029bde&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYSqCDfam6NzMPqs3HKKHiCaqmgvuNm7n90aeZlj6I-OmptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1anf8icjebt57bk2","datascientist",NA,0,0,2.94859181071569,0,0,3.29782709369338,2.61345014246493,0,1.97903812032972,0,0,0,2.68735209133191,0,0,2.64756181505171,0,0,0,2.74893052482177,0,0,0,0,0,0,0,0,0,0,0,2.8400109941691,0,0,0,2.51654012945688,0,2.58620322732407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6245256475086,1.9754280040979,0,2.68735209133191,11.122006110991,8.08384443120539,0,0,0,2.51654012945688,2.8400109941691,2
"3",2,"Data Scientist, Operations and Engineering","Google","Mountain View,CA","Tue, 05 Jul 2016 16:03:16 GMT","indeed","http://www.indeed.com/viewjob?jk=d79739fa4b326c49&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYSqCDfam6NzMPqs3HKKHiCaqmgvuNm7n90aeZlj6I-OmptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1anf8icjebt57bk2","datascientist",NA,2.54029904043303,2.40670189873108,0,0,2.75321988790588,0,2.61345014246493,0,1.97903812032972,0,0,0,0,0,0,2.64756181505171,0,3.34568770934182,2.43424564798511,2.74893052482177,0,0,0,0,2.84664157306811,0,3.02206520019846,0,0,0,2.92555564317258,0,0,0,0,0,0,2.58620322732407,0,0,0,0,0,2.13946460159813,0,0,0,0,0,0,0,0,0,0,0,0,2.6245256475086,1.9754280040979,2.13946460159813,7.79364251223223,10.5773989052035,8.7421800492153,0,5.94762084337104,2.84664157306811,2.43424564798511,0,3
"4",3,"Data Scientist","Overstock.com","Cottonwood Heights,UT","Sun, 10 Jul 2016 06:06:32 GMT","indeed","http://www.indeed.com/viewjob?jk=3bee143fb48d9f4b&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYSqCDfam6NzMPqs3HKKHiCaqmgvuNm7n90aeZlj6I-OmptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1anf8icjebt57bk2","datascientist",NA,2.54029904043303,0,0,0,2.75321988790588,3.29782709369338,2.61345014246493,0,1.97903812032972,0,0,0,2.68735209133191,0,0,2.64756181505171,2.64335757619853,0,2.43424564798511,2.74893052482177,0,0,0,0,2.84664157306811,0,0,0,0,2.70821741091505,2.92555564317258,2.8400109941691,0,2.93527906011018,2.92395603001279,2.51654012945688,0,2.58620322732407,3.50119243761572,0,0,0,0,0,0,2.80464190740311,3.08901198982907,2.8400109941691,3.11548688536069,3.21864584764575,0,4.21239689836875,3.40913492740208,0,0,0,2.6245256475086,1.9754280040979,0,8.07429270483306,16.7991820289097,8.08384443120539,0,2.92555564317258,25.5359710232467,8.16943162508774,14.9086559328228,4
"5",4,"Data Scientist - Uber Everything","Uber","New York,NY","Wed, 06 Jul 2016 04:06:08 GMT","indeed","http://www.indeed.com/viewjob?jk=805e5f4ed6da21a2&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYSqCDfam6NzMPqs3HKKHiCaqmgvuNm7n90aeZlj6I-OmptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1anf8icjebt57bk2","datascientist",NA,0,2.40670189873108,2.94859181071569,0,2.75321988790588,0,2.61345014246493,0,1.97903812032972,3.38080132875814,0,0,2.68735209133191,0,0,2.64756181505171,2.64335757619853,0,2.43424564798511,0,0,0,0,0,0,0,0,0,0,2.70821741091505,0,2.8400109941691,0,0,2.92395603001279,0,0,0,0,0,0,2.46420887136255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6245256475086,1.9754280040979,0,8.47485531882112,10.9151517078922,5.33491390638362,2.46420887136255,2.46420887136255,0,2.43424564798511,8.47218443509695,3
"6",5,"Data Scientist","Avalance","","Tue, 28 Jun 2016 20:16:09 GMT","indeed","http://www.indeed.com/viewjob?jk=fbaae6f21b47d3bb&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYSqCDfam6NzMPqs3HKKHiCaqmgvuNm7n90aeZlj6I-OmptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1anf8icjebt57bk2","datascientist",NA,2.54029904043303,2.40670189873108,2.94859181071569,0,0,3.29782709369338,2.61345014246493,3.75646494271903,1.97903812032972,3.38080132875814,0,0,2.68735209133191,2.7404768373349,2.85609781406256,2.64756181505171,0,3.34568770934182,0,0,0,0,0,0,0,0,0,0,0,2.70821741091505,2.92555564317258,2.8400109941691,0,0,0,2.51654012945688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6245256475086,1.9754280040979,0,16.6117290106516,12.2922678263859,8.68060161572544,0,2.92555564317258,0,2.51654012945688,5.54822840508415,3
"7",6,"Data Scientist / Quantitative Analyst, YouTube","Google","San Bruno,CA","Tue, 05 Jul 2016 16:04:04 GMT","indeed","http://www.indeed.com/viewjob?jk=51202856a10045c5&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYSqCDfam6NzMPqs3HKKHiCaqmgvuNm7n90aeZlj6I-OmptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1anf8icjebt57bk2","datascientist",NA,0,0,2.94859181071569,0,0,3.29782709369338,2.61345014246493,0,1.97903812032972,0,0,0,2.68735209133191,0,0,2.64756181505171,0,0,0,2.74893052482177,0,0,0,0,0,0,0,0,0,0,0,2.8400109941691,0,0,0,2.51654012945688,0,2.58620322732407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6245256475086,1.9754280040979,0,2.68735209133191,11.122006110991,8.08384443120539,0,0,0,2.51654012945688,2.8400109941691,2
"8",7,"Data Scientist","Siemens","Mountain View,CA","Mon, 04 Jul 2016 14:38:55 GMT","indeed","http://www.indeed.com/viewjob?jk=c7b5397da2c76c3f&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYSqCDfam6NzMPqs3HKKHiCaqmgvuNm7n90aeZlj6I-OmptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1anf8icjebt57bk2","datascientist",NA,0,2.40670189873108,0,0,0,0,0,0,1.97903812032972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84664157306811,0,0,0,0,0,2.92555564317258,2.8400109941691,0,2.93527906011018,0,0,0,0,0,0,0,0,0,0,0,2.80464190740311,0,0,0,0,0,0,0,0,0,2.92877265404458,0,1.9754280040979,0,5.25334347179919,0,0,0,2.92555564317258,8.58005613451581,0,5.77529005427928,5
"9",8,"Data Scientist: Minneapolis","The Nerdery","Minneapolis,MN","Tue, 17 May 2016 01:27:04 GMT","indeed","http://www.indeed.com/viewjob?jk=f948f0a64ea08990&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYSqCDfam6NzMPqs3HKKHiCaqmgvuNm7n90aeZlj6I-OmptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1anf8icjebt57bk2","datascientist",NA,0,2.40670189873108,0,0,0,3.29782709369338,2.61345014246493,0,1.97903812032972,3.38080132875814,0,0,2.68735209133191,0,0,2.64756181505171,0,0,2.43424564798511,2.74893052482177,0,0,0,0,0,0,3.02206520019846,0,0,2.70821741091505,2.92555564317258,2.8400109941691,0,2.93527906011018,0,0,0,0,3.50119243761572,0,0,0,0,0,0,0,3.08901198982907,0,3.11548688536069,0,0,0,3.40913492740208,0,3.57319509903622,0,2.6245256475086,1.9754280040979,0,8.47485531882112,8.53580288366691,8.08384443120539,0,5.94762084337104,13.1868289016281,6.00744074702133,11.9846999028101,4
"10",9,"Data Scientist, Analytics","Facebook","Seattle,WA","Sat, 09 Jul 2016 16:26:36 GMT","indeed","http://www.indeed.com/viewjob?jk=4fd62b4a47747e3a&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYSqCDfam6NzMPqs3HKKHiCaqmgvuNm7n90aeZlj6I-OmptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1anf8icjebt57bk2","datascientist",NA,2.54029904043303,2.40670189873108,0,0,2.75321988790588,3.29782709369338,2.61345014246493,0,1.97903812032972,0,0,0,2.68735209133191,0,0,2.64756181505171,2.64335757619853,0,2.43424564798511,2.74893052482177,0,0,0,3.00059008704654,0,0,0,0,0,0,0,0,0,2.93527906011018,0,0,0,2.58620322732407,0,0,0,0,3.10325242894368,0,0,0,0,2.8400109941691,3.11548688536069,0,0,0,0,0,0,0,2.6245256475086,1.9754280040979,0,10.6349431175426,13.8752259988969,8.08384443120539,0,0,9.05875030847348,2.43424564798511,2.93527906011018,3
"11",10,"Data Scientist 1","PayPal","San Jose,CA","Wed, 29 Jun 2016 00:22:10 GMT","indeed","http://www.indeed.com/viewjob?jk=305e2363775d1e63&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYSqCDfam6NzMPqs3HKKHiCaqmgvuNm7n90aeZlj6I-OmptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1anf8icjebt57bk2","datascientist",NA,0,2.40670189873108,0,0,0,0,0,0,1.97903812032972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9754280040979,0,2.40670189873108,0,0,0,0,0,0,0,1
"12",11,"Data Scientist - Analytics","Toyota","Dallas,TX","Mon, 13 Jun 2016 18:48:31 GMT","indeed","http://www.indeed.com/viewjob?jk=095d05c3e00fb293&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYSqCDfam6NzMPqs3HKKHiCaqmgvuNm7n90aeZlj6I-OmptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1anf8icjebt57bk2","datascientist",NA,2.54029904043303,0,2.94859181071569,0,2.75321988790588,0,2.61345014246493,0,1.97903812032972,0,0,0,2.68735209133191,2.7404768373349,0,2.64756181505171,0,0,2.43424564798511,2.74893052482177,0,0,0,0,2.84664157306811,0,0,0,3.76746032702049,2.70821741091505,2.92555564317258,0,0,2.93527906011018,0,0,0,0,0,0,0,0,0,2.13946460159813,2.48288499704282,2.80464190740311,3.08901198982907,2.8400109941691,3.11548688536069,3.21864584764575,0,0,0,0,3.57319509903622,0,2.6245256475086,1.9754280040979,4.62234959864095,10.814769542168,7.99119567787941,8.08384443120539,0,6.69301597019307,21.4876342965121,9.22608659466708,5.64349647102523,4
"13",12,"Data Scientist, Learning Experience","Coursera","Mountain View,CA","Sat, 11 Jun 2016 09:18:13 GMT","indeed","http://www.indeed.com/viewjob?jk=fafe1d133a7e93ac&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYSqCDfam6NzMPqs3HKKHiCaqmgvuNm7n90aeZlj6I-OmptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1anf8icjebt57bk2","datascientist",NA,0,2.40670189873108,0,0,2.75321988790588,0,2.61345014246493,0,0,3.38080132875814,0,0,2.68735209133191,0,0,2.64756181505171,0,3.34568770934182,2.43424564798511,0,0,0,0,0,0,0,0,0,0,0,2.92555564317258,0,0,0,0,2.51654012945688,0,2.58620322732407,0,0,0,2.46420887136255,0,2.13946460159813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13946460159813,8.47485531882112,7.95287325769488,8.68060161572544,2.46420887136255,5.38976451453513,0,4.95078577744198,0,3
"14",13,"Data Scientist I","Expedia","Bellevue,WA","Fri, 03 Jun 2016 05:37:21 GMT","indeed","http://www.indeed.com/viewjob?jk=2ce6ff7f62857027&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYSqCDfam6NzMPqs3HKKHiCaqmgvuNm7n90aeZlj6I-OmptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1anf8icjebt57bk2","datascientist",NA,2.54029904043303,2.40670189873108,0,0,0,3.29782709369338,2.61345014246493,0,1.97903812032972,0,0,0,0,2.7404768373349,0,2.64756181505171,2.64335757619853,0,2.43424564798511,2.74893052482177,0,0,0,0,0,0,0,0,0,2.70821741091505,0,2.8400109941691,0,2.93527906011018,0,0,0,0,0,0,0,0,0,2.13946460159813,0,2.80464190740311,0,0,0,0,0,0,0,0,0,0,2.6245256475086,1.9754280040979,2.13946460159813,7.68747777649901,8.53580288366691,5.39649233987348,0,0,2.80464190740311,2.43424564798511,8.48350746519434,3
"15",14,"Data Scientist (Maplewood, MN) Job","3M","Maplewood,MN","Fri, 01 Apr 2016 05:00:57 GMT","indeed","http://www.indeed.com/viewjob?jk=5c6364908b0518b4&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYSqCDfam6NzMPqs3HKKHiCaqmgvuNm7n90aeZlj6I-OmptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1anf8icjebt57bk2","datascientist",NA,2.54029904043303,2.40670189873108,2.94859181071569,0,0,0,2.61345014246493,0,1.97903812032972,0,0,0,2.68735209133191,0,2.85609781406256,2.64756181505171,2.64335757619853,3.34568770934182,0,0,0,0,0,0,0,0,0,0,0,2.70821741091505,0,2.8400109941691,0,0,0,0,3.29782709369338,0,0,0,0,0,0,2.13946460159813,0,0,0,0,0,0,0,0,0,0,0,0,2.6245256475086,1.9754280040979,2.13946460159813,10.4904508445586,5.23797578997353,8.68060161572544,0,0,0,0,8.84605549877753,3
"16",15,"Ssr Data Scientist (R, Tableau, Python)","Globant","New York,NY","Fri, 01 Jul 2016 03:44:27 GMT","indeed","http://www.indeed.com/viewjob?jk=a417157fb9b2604a&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYSqCDfam6NzMPqs3HKKHiCaqmgvuNm7n90aeZlj6I-OmptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1anf8icjebt57bk2","datascientist",NA,2.54029904043303,2.40670189873108,0,0,0,0,2.61345014246493,0,1.97903812032972,0,0,0,2.68735209133191,0,0,2.64756181505171,0,0,0,0,0,0,0,0,2.84664157306811,0,3.02206520019846,0,0,0,0,0,0,2.93527906011018,0,2.51654012945688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6245256475086,1.9754280040979,0,10.4809946035641,5.23797578997353,5.33491390638362,0,3.02206520019846,2.84664157306811,2.51654012945688,2.93527906011018,3
"17",16,"R Statistician/Data Scientist","Data Management Services, Inc.","Frederick,MD","Thu, 30 Jun 2016 17:22:06 GMT","indeed","http://www.indeed.com/viewjob?jk=3fcb1b896009b3b7&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYSqCDfam6NzMPqs3HKKHiCaqmgvuNm7n90aeZlj6I-OmptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1anf8icjebt57bk2","datascientist",NA,0,0,0,0,0,0,2.61345014246493,3.75646494271903,1.97903812032972,0,0,0,0,0,0,2.64756181505171,0,0,0,0,3.24793522374774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29782709369338,2.58620322732407,0,0,0,2.46420887136255,0,2.13946460159813,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9754280040979,2.13946460159813,0,8.95611831250803,2.64756181505171,5.71214409511029,2.46420887136255,0,0,3.29782709369338,2
"18",17,"Data Scientist, Product Analytics","Snapchat","Los Angeles,CA","Thu, 19 May 2016 05:46:56 GMT","indeed","http://www.indeed.com/viewjob?jk=bf95393901576b63&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYSqCDfam6NzMPqs3HKKHiCaqmgvuNm7n90aeZlj6I-OmptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1anf8icjebt57bk2","datascientist",NA,2.54029904043303,2.40670189873108,0,0,2.75321988790588,0,2.61345014246493,0,1.97903812032972,0,0,0,2.68735209133191,0,0,2.64756181505171,0,3.34568770934182,2.43424564798511,0,0,0,0,0,0,0,0,0,0,0,2.92555564317258,0,0,2.93527906011018,0,0,0,2.58620322732407,0,0,0,0,0,2.13946460159813,0,0,0,0,0,0,0,0,0,0,0,0,2.6245256475086,1.9754280040979,2.13946460159813,7.63435303049602,10.5773989052035,8.68060161572544,0,2.92555564317258,0,2.43424564798511,2.93527906011018,3
